nombre,formato,precio,precio_ud/Kg/L,marca,categoria
champu suave para bebe con leche de almendras dulces sin lagrimas nenuco 500 ml,500 ml,4.65,9.3,nenuco,bebe
panales dodot bebe seco t3 6 10 kg 84 ud,10 kg,26.9,2.69,dodot bebe seco,bebe
agua de colonia fragancia original nenuco classic 650 ml,650 ml,4.55,6.999999999999999,nenuco,bebe
galletas infantiles desde 10 meses nestle pequegalletas sin aceite de palma 180 g,180 g,3.89,21.611111111111114,nestle,bebe
leche infantil de continuacion 2 desde 6 meses en polvo nutriben continuacion pro a sin aceite de palma lata 800 g,lata 800 g,19.55,24.4375,nutriben,bebe
panales dodot sensitive t6 14 kg 41 ud,14 kg,31.49,2.249285714285714,dodot sensitive extra,bebe
tarrito de verduritas con merluza desde 6 meses hero solo sin gluten pack de 6 unidades de 235 g,pack de 6 unidades de 235 g,10.19,7.226950354609929,hero,bebe
protector de cama 80 x 180 cms sabanindas 20 ud,80 x 180,14.15,0.07861111111111112,sabanindas,bebe
gel de bano suave cuerpo y cabello mustella 500 ml,500 ml,12.85,25.7,mustela,bebe
tarrito de verduras y pollo desde 8 meses danone bledina sin gluten sin lactosa y sin azucar anadido 200 g,200 g,1.59,7.95,bledina,bebe
tarrito de potaje de alubias y verduras desde 8 meses hero baby sin gluten pack de 2 unidades de 190 g,pack de 2 unidades de 190 g,2.95,7.7631578947368425,hero,bebe
toallitas delicadas humedas ecologicas disney baby naturaverde 64 ud ,64 ud,3.15,0.04921875,naturaverde,bebe
chupete de silicona fisiologico sx pro 0 6 meses suavinex 1 ud,x 1 ud,5.85,5.85,suavinex,bebe
preparado 7 frutas desde 6 meses nestle sin gluten sin lactosa y sin azucar anadido pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.15,7.874999999999999,nestle,bebe
gel de bano con espuma con aguacate mustela 750 ml,750 ml,13.75,18.333333333333332,mustela,bebe
bolsita de fruta y galleta nestle party fruits sin azucar anadido 110 g,110 g,1.41,12.818181818181817,nestle,bebe
tarrito de cazuela de merluza a la marinera desde 8 meses hero baby sin gluten pack de 2 unidades de 190 g,pack de 2 unidades de 190 g,2.95,7.7631578947368425,hero,bebe
gel dermo limpiador mustela 750 ml,750 ml,14.29,19.05333333333333,mustela,bebe
tarrito de verduras con pescadilla a la crema desde 8 meses hero solo sin gluten pack de 6 unidades de 190 g,pack de 6 unidades de 190 g,9.19,8.06140350877193,hero,bebe
tarrito de zanahorias guisantes y merluza desde 6 meses ecologico hero solo sin gluten 190 g,190 g,2.69,14.157894736842104,hero solo,bebe
pants dodot activity t6 14 19 kg 35 ud,19 kg,29.4,1.5473684210526315,dodot activity extra,bebe
toallitas humedas con tapa infantiles peppa pig 20 uds,20 uds,1.55,0.0775,peppa pig,bebe
leche infantil para lactantes 1 desde el primer dia en polvo nutriben natal pro a sin aceite de palma lata 800 g,lata 800 g,21.5,26.875,nutriben,bebe
tarrito de frutas variadas desde 4 meses hero baby sin gluten pack de 6 unidades de 190 g,pack de 6 unidades de 190 g,9.89,8.67543859649123,hero,bebe
postre lacteo fresa desde 8 meses nestle yogolino sin gluten pack de 8 unidades de 100 g,pack de 8 unidades de 100 g,5.05,6.312499999999999,yogolino,bebe
leche infantil de continuacion desde 6 meses en polvo classic 2 hero nutrasense 1 lata 800 g,lata 800 g,12.99,16.2375,hero,bebe
papilla infantil desde 6 meses hero 8 cereales sin azucar anadido 550 g,550 g,5.65,10.272727272727273,hero,bebe
toallitas para bebe biodegradables chicco 120 ud,120 ud,3.19,0.026583333333333334,chicco,bebe
