nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"agua mineral natural tapon sport 0,33 l","0,33 l",0.39,1.19,AQUAREL,bebidas
"agua mineral natural tapon sport 0,75 l","0,75 l",0.73,0.97,AQUAREL,bebidas
"bebida isotonica limon botella 1,5 l","botella 1,5 l",1.99,1.33,AQUARIUS,bebidas
"bebida isotonica limon zero botella 1,5 l","botella 1,5 l",1.99,1.33,AQUARIUS,bebidas
"bebida isotonica limon zero lata 0,33 l","lata 0,33 l",0.95,2.88,AQUARIUS,bebidas
"bebida isotonica melocoton lata 0,33 l","lata 0,33 l",0.95,2.88,AQUARIUS,bebidas
"bebida isotonica melocoton pet 1,5 l","1,5 l",1.99,1.33,AQUARIUS,bebidas
"bebida isotonica naranja botella 0,5 l","botella 0,5 l",1.49,2.98,AQUARIUS,bebidas
"bebida isotonica naranja botella 1,5 l","botella 1,5 l",1.99,1.33,AQUARIUS,bebidas
"bebida isotonica naranja lata 0,33 l","lata 0,33 l",0.95,2.88,AQUARIUS,bebidas
"bebida isotonica naranja zero botella 1,5 l","botella 1,5 l",1.99,1.33,AQUARIUS,bebidas
"bebida isotonica naranja zero lata 0,33 l","lata 0,33 l",0.95,2.88,AQUARIUS,bebidas
"vino blanco chardonnay d.o. somontano 0,75 l","0,75 l",3.59,4.79,ARIÑO,bebidas
"vino blanco canallas d.o.valencia 0,75 l","0,75 l",3.59,4.79,ARRAEZ,bebidas
"vino tinto canallas d.o.valencia 0,75 l","0,75 l",3.59,4.79,ARRAEZ,bebidas
"vino tinto biodinamico v.tierra de castilla 0,75 l","0,75 l",2.99,3.99,ASTRADA,bebidas
"vino verde region vinho verde 0,75 l","0,75 l",5.99,7.99,AZEVEDO,bebidas
"vino tinto crianza d.o.rioja 0,75 l","0,75 l",8.95,11.93,AZPILICUETA,bebidas
vino tinto crianza d.o.rioja 375 ml,375 ml,5.49,14.64,AZPILICUETA,bebidas
"vino blanco aguja 0,75 l","0,75 l",4.35,5.8,B. PESCADOR,bebidas
"fragolino 0,75 l","0,75 l",4.39,5.85,B.MARTI,bebidas
"frizzante rosso dolce sangue di giuda 0,75 l","0,75 l",4.75,6.33,B.MARTI,bebidas
"ron blanco 0,7 l","0,7 l",13.99,19.99,BACARDI,bebidas
"ron carta negra 0,7 l","0,7 l",13.99,19.99,BACARDI,bebidas
"cava brut nature d.o.cava 0,75 l","0,75 l",5.35,7.13,BACH,bebidas
"cava rosado brut d.o.cava 0,75 l","0,75 l",5.35,7.13,BACH,bebidas
"vino blanco seco d.o.cataluña 0,75 l","0,75 l",5.35,7.13,BACH,bebidas
"vino blanco semi d.o.cataluña 0,75 l","0,75 l",5.35,7.13,BACH,bebidas
bebida multifrutas brik 2 l,brik 2 l,1.4,0.7,BAHAMAS,bebidas
"vino blanco d.o.alicante 0,75 l","0,75 l",4.9,6.53,BAHIA DENIA,bebidas
"crema de whisky 0,7 l","0,7 l",15.99,22.84,BAILEYS,bebidas
"vino tinto roble d.o.toro 0,75 l","0,75 l",4.39,5.85,BAJOZ,bebidas
